Имя файла;Исходный путь;Конечный путь;Категория;Раздел;Подпапка;Ревизия;Тип файла;CRC;Статус
GPNG-GEP-RD-0407.001-001-CI-KZ0-BOQ-001_rA_RU.pdf;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0133\PDF\GPNG-GEP-RD-0407.001-001-CI-KZ0-BOQ-001_rA_RU.pdf;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.001\GPNG-GEP-RD-0407.001-001-CI-KZ0\Рев. A\пдф\GPNG-GEP-RD-0407.001-001-CI-KZ0-BOQ-001_rA_RU.pdf;Ранние работы;0407.001;GPNG-GEP-RD-0407.001-001-CI-KZ0;A;пдф;bf8fd3d4;copied
GPNG-GEP-RD-0407.001-001-CI-KZ0-SPE-001_rA_RU.pdf;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0133\PDF\GPNG-GEP-RD-0407.001-001-CI-KZ0-SPE-001_rA_RU.pdf;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.001\GPNG-GEP-RD-0407.001-001-CI-KZ0\Рев. A\пдф\GPNG-GEP-RD-0407.001-001-CI-KZ0-SPE-001_rA_RU.pdf;Ранние работы;0407.001;GPNG-GEP-RD-0407.001-001-CI-KZ0;A;пдф;9714d480;copied
GPNG-GEP-RD-0407.001-001-CI-KZ0-BOQ-001_rA_RU.xlsm;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0133\Исходники\GPNG-GEP-RD-0407.001-001-CI-KZ0-BOQ-001_rA_RU.xlsm;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.001\GPNG-GEP-RD-0407.001-001-CI-KZ0\Рев. A\ред.формат\GPNG-GEP-RD-0407.001-001-CI-KZ0-BOQ-001_rA_RU.xlsm;Ранние работы;0407.001;GPNG-GEP-RD-0407.001-001-CI-KZ0;A;ред.формат;3c043ba7;copied
GPNG-GEP-RD-0407.001-001-CI-KZ0-CD-001_rA_RU.dwg;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0133\Исходники\GPNG-GEP-RD-0407.001-001-CI-KZ0-CD-001_rA_RU.dwg;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.001\GPNG-GEP-RD-0407.001-001-CI-KZ0\Рев. A\ред.формат\GPNG-GEP-RD-0407.001-001-CI-KZ0-CD-001_rA_RU.dwg;Ранние работы;0407.001;GPNG-GEP-RD-0407.001-001-CI-KZ0;A;ред.формат;bd4af002;copied
GPNG-GEP-RD-0407.001-001-CI-KZ0-DWG-001_rA_RU.dwg;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0133\Исходники\GPNG-GEP-RD-0407.001-001-CI-KZ0-DWG-001_rA_RU.dwg;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.001\GPNG-GEP-RD-0407.001-001-CI-KZ0\Рев. A\ред.формат\GPNG-GEP-RD-0407.001-001-CI-KZ0-DWG-001_rA_RU.dwg;Ранние работы;0407.001;GPNG-GEP-RD-0407.001-001-CI-KZ0;A;ред.формат;b766af27;copied
GPNG-GEP-RD-0407.001-001-CI-KZ0-DWG-002_rA_RU.dwg;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0133\Исходники\GPNG-GEP-RD-0407.001-001-CI-KZ0-DWG-002_rA_RU.dwg;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.001\GPNG-GEP-RD-0407.001-001-CI-KZ0\Рев. A\ред.формат\GPNG-GEP-RD-0407.001-001-CI-KZ0-DWG-002_rA_RU.dwg;Ранние работы;0407.001;GPNG-GEP-RD-0407.001-001-CI-KZ0;A;ред.формат;4f921b10;copied
GPNG-GEP-RD-0407.001-001-CI-KZ0-SPE-001_rA_RU.xlsm;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0133\Исходники\GPNG-GEP-RD-0407.001-001-CI-KZ0-SPE-001_rA_RU.xlsm;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.001\GPNG-GEP-RD-0407.001-001-CI-KZ0\Рев. A\ред.формат\GPNG-GEP-RD-0407.001-001-CI-KZ0-SPE-001_rA_RU.xlsm;Ранние работы;0407.001;GPNG-GEP-RD-0407.001-001-CI-KZ0;A;ред.формат;5f8ac4f7;copied
GPNG-GEP-RD-0407.000-000-IF-NVK0-CD-001_rA.pdf;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0135\ПДФ_отдельные документы\GPNG-GEP-RD-0407.000-000-IF-NVK0-CD-001_rA.pdf;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.000\GPNG-GEP-RD-0407.000-000-IF-NVK0\Рев. A\пдф\GPNG-GEP-RD-0407.000-000-IF-NVK0-CD-001_rA.pdf;Ранние работы;0407.000;GPNG-GEP-RD-0407.000-000-IF-NVK0;A;пдф;319d9439;copied
GPNG-GEP-RD-0407.000-000-IF-NVK0-DWG-002_rA.pdf;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0135\ПДФ_отдельные документы\GPNG-GEP-RD-0407.000-000-IF-NVK0-DWG-002_rA.pdf;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.000\GPNG-GEP-RD-0407.000-000-IF-NVK0\Рев. A\пдф\GPNG-GEP-RD-0407.000-000-IF-NVK0-DWG-002_rA.pdf;Ранние работы;0407.000;GPNG-GEP-RD-0407.000-000-IF-NVK0;A;пдф;cfc25b5d;copied
GPNG-GEP-RD-0407.000-000-IF-NVK0-DWG-003_rA.pdf;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0135\ПДФ_отдельные документы\GPNG-GEP-RD-0407.000-000-IF-NVK0-DWG-003_rA.pdf;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.000\GPNG-GEP-RD-0407.000-000-IF-NVK0\Рев. A\пдф\GPNG-GEP-RD-0407.000-000-IF-NVK0-DWG-003_rA.pdf;Ранние работы;0407.000;GPNG-GEP-RD-0407.000-000-IF-NVK0;A;пдф;2dbad4ab;copied
